Shrub.ID,D1,D2,H,Area,Log.area,Volume,Canopy,RDM.2013,Shrub.density,x,y
1,5.1,3.5,1.6,14.02,2.640484882,7.48,7,0.582727909,0.002228318,697267.9637,4062667.19
2,2.6,2.8,1.1,5.72,1.743968805,2.1,10,1.087432742,0.00228031,697272.85,4062667.19
3,2.8,1.6,1.4,3.52,1.25846099,1.64,8,1.551373363,0.002722799,697277.7362,4062676.294
4,3.4,2.9,1.5,7.74,2.046401688,3.87,6,2.562836647,0.002854859,697282.6225,4062685.399
5,2.9,3.6,1.5,8.2,2.104134154,4.1,4,6.442046165,0.003084012,697277.5545,4062695.828
6,2.7,2.6,0.8,5.51,1.706564623,1.47,5,8.628020287,0.002632798,697277.3831,4062707.147
7,2.3,1.7,1,3.07,1.121677562,1.02,6,9.759580612,0.002537653,697283.7757,4062712.956
8,2.5,2.6,1.6,5.11,1.631199404,2.72,3,7.915065289,0.002854859,697286.3443,4062702.358
9,2.9,2.3,1.1,5.24,1.656321498,1.92,6,5.027719975,0.002469915,697285.1241,4062697.113
10,3.1,3.6,1.8,8.77,2.171336806,5.26,7,6.834246159,0.002015125,697271.0511,4062725.873
11,2.5,2.8,1,5.5,1.704748092,1.83,2,4.18708849,0.001638502,697290.0735,4062730.641
12,1.5,1.3,0.8,1.53,0.425267735,0.41,8,5.409973621,0.001698039,697267.3357,4062755.205
13,2.2,2.2,1.3,3.8,1.335001067,1.65,8,6.942149162,0.002104711,697269.3575,4062760.58
14,2,2.3,1.3,3.61,1.283707772,1.57,9,6.150328636,0.00311926,697256.9193,4062761.07
15,5.2,4.1,1.8,16.74,2.817801065,10.05,3,2.945753574,0.003434217,697242.3519,4062760.846
16,3.1,3.5,1.5,8.52,2.142416341,4.26,3,5.599879742,0.003740633,697231.8127,4062775.922
17,4.78,6.2,2.15,23.28,3.147594623,16.68,4.5,6.290275097,0.003313889,697231.4835,4062770.808
18,4,3.5,1.8,11,2.397895273,6.6,5,2.876213789,0.002816746,697232.4282,4062764.724
19,5,4.7,1.8,18.46,2.915606229,11.07,6,2.367727041,0.00095162,697232.641,4062724.433
20,5.5,6.4,2,27.65,3.319625728,18.43,4,1.968562722,0.00095162,697229.1387,4062705.702
21,2.1,1.7,1.8,2.8,1.029619417,1.68,5,1.968562722,0.00095162,697229.1387,4062705.702
22,3.3,3.1,1.5,8.03,2.083184528,4.02,9,0.057823014,0.001586033,697256.5415,4062657.156
23,4.3,3.6,1.4,12.16,2.498151877,5.67,8,1.021729708,0.001586033,697262.7917,4062641.981
24,4.7,3.1,1.5,11.44,2.437115986,5.72,5,1.086491108,0.000634413,697273.7192,4062621.696
25,4.3,3.8,1.5,12.83,2.551786179,6.42,8,3.84706831,0.003074172,697274.4857,4062790.227
26,2.7,2.7,1,5.73,1.745715531,1.91,8,12.5200386,0.001347118,697294.3511,4062773.922
27,4.1,3.7,1.2,11.91,2.477378383,4.77,7,6.825844765,0.001644435,697288.0088,4062793.092
28,3.6,3.6,1.2,10.18,2.320425011,4.07,8,2.930839062,0.0023581,697279.9437,4062801.676
29,2.6,2.4,1.2,4.9,1.589235205,1.96,0,3.717809916,0.002396541,697295.7642,4062813.474
30,4.7,3.9,1.5,14.4,2.667228207,7.2,7,4.678003788,0.001509251,697304.8397,4062827.005
31,5.3,4.3,1.8,17.9,2.884800713,10.74,7,10.89518738,0.002467377,697307.8978,4062837.843
32,2.9,2.9,1.1,6.61,1.888583654,2.42,10,5.155793667,0.002468585,697309.6923,4062845.322
33,2.3,2.3,1.2,4.15,1.423108334,1.66,9,7.42775631,0.003726622,697267.4642,4062819.483
